iid	series	is_control	sra_path	tf
GSM2742888	GSE102684	False	SRR5935356	H3K27Ac
GSM2742889	GSE102684	False	SRR5935358	H3K27Ac
GSM2742890	GSE102684	False	SRR5935359	H3K27Ac
GSM2742891	GSE102684	False	SRR5935360	H3K27Ac
GSM2742892	GSE102684	False	SRR5935361	H3K27Ac
GSM2742893	GSE102684	False	SRR5935363	H3K27Ac
GSM2742894	GSE102684	False	SRR5935365	H3K27Ac
GSM2742895	GSE102684	False	SRR5935366	H3K27Ac
GSM2742896	GSE102684	False	SRR5935367	H3K27Ac
GSM2742897	GSE102684	False	SRR5935369	H3K27Ac
GSM2742898	GSE102684	False	SRR5935370	H3K27Ac
GSM2742899	GSE102684	False	SRR5935371	H3K27Ac
GSM2742900	GSE102684	False	SRR5935372	H3K27Ac
GSM2742901	GSE102684	False	SRR5935374	H3K27Ac
GSM2742902	GSE102684	False	SRR5935375	H3K27Ac
GSM2742903	GSE102684	False	SRR5935377	H3K27Ac
GSM2742904	GSE102684	False	SRR5935378	H3K27Ac
GSM2742905	GSE102684	False	SRR5935379	H3K27Ac
GSM2532931	GSE96084	False	SRR5336017,SRR5336016	AR-Antibody
GSM2532932	GSE96084	False	SRR5336018,SRR5336019	AR-Antibody
GSM2532933	GSE96084	False	SRR5336020,SRR5336021	AR-Antibody
GSM2532934	GSE96084	False	SRR5336022,SRR5336023	AR-Antibody
GSM2532935	GSE96084	False	SRR5336025,SRR5336024	AR-Antibody
GSM2532936	GSE96084	False	SRR5336027,SRR5336026	AR-Antibody
GSM2532937	GSE96084	False	SRR5336028,SRR5336029	AR-Antibody
GSM2429817	GSE92443	False	SRR5113703	SMAD3
GSM2429818	GSE92443	False	SRR5113704	SMAD3
GSM2429819	GSE92443	False	SRR5113705	SMAD3
GSM2429820	GSE92443	False	SRR5113706	SMAD3
GSM2429821	GSE92443	False	SRR5113707	SMAD3
GSM2429822	GSE92443	False	SRR5113708	SMAD3
GSM2429823	GSE92443	False	SRR5113709	SMAD3
GSM2199947	GSE83347	False	SRR3667288	phsopho-SMAD1/5/8
GSM2199948	GSE83347	False	SRR3667289	phsopho-SMAD1/5/8
GSM2199949	GSE83347	False	SRR3667290	phsopho-SMAD1/5/8
GSM2199950	GSE83347	False	SRR3667291	phsopho-SMAD1/5/8
GSM2199951	GSE83347	False	SRR3667292	phsopho-SMAD1/5/8
GSM2199952	GSE83347	False	SRR3667293	phsopho-SMAD1/5/8
GSM2357663	GSE89029	False	SRR4437042	H3K79me2
GSM2357664	GSE89029	False	SRR4437043	H3K79me2
GSM2357665	GSE89029	False	SRR4437044	H3K79me2
GSM2357666	GSE89029	False	SRR4437045	H3K79me2
GSM2357667	GSE89029	False	SRR4437046	H3K79me2
GSM2357668	GSE89029	False	SRR4437047	H3K79me2
GSM2572272	GSE97570	False	SRR5441793,SRR5441794	Hoxc5
GSM2572273	GSE97570	False	SRR5441795,SRR5441796	Hoxc5
GSM2572274	GSE97570	False	SRR5441797	Hoxc5
GSM2572275	GSE97570	False	SRR5441798	Hoxc5
GSM2572276	GSE97570	False	SRR5441799	Hoxc5
GSM2572277	GSE97570	False	SRR5441800	Hoxc5
GSM2572278	GSE97570	False	SRR5441801	Hoxc5
GSM2572279	GSE97570	False	SRR5441802	Hoxc5
GSM2039081	GSE76856	False	SRR3100890	anti-HA
GSM2991421	GSE110453	False	SRR6705789	anti-KMT2D
GSM2991422	GSE110453	False	SRR6705790	anti-KMT2D
GSM2991423	GSE110453	False	SRR6705791	anti-KMT2D
GSM2991424	GSE110453	False	SRR6705792	anti-KMT2D
GSM2991425	GSE110453	False	SRR6705793	anti-KMT2D
GSM2991426	GSE110453	False	SRR6705794	anti-KMT2D
GSM2991427	GSE110453	False	SRR6705795	anti-KMT2D
GSM2991428	GSE110453	False	SRR6705796	anti-KMT2D
GSM2991429	GSE110453	False	SRR6705797	anti-KMT2D
GSM2991430	GSE110453	False	SRR6705798	anti-KMT2D
GSM2991431	GSE110453	False	SRR6705799	anti-KMT2D
GSM2991432	GSE110453	False	SRR6705800	anti-KMT2D
GSM2991433	GSE110453	False	SRR6705801	anti-KMT2D
GSM2991434	GSE110453	False	SRR6705802	anti-KMT2D
GSM2991435	GSE110453	False	SRR6705803	anti-KMT2D
GSM1611871	GSE65974	False	SRR1805899	Monoclonal
GSM1611872	GSE65974	False	SRR1805900	Monoclonal
GSM1684569	GSE68858	False	SRR2022140	anti-CTCF
GSM1684570	GSE68858	False	SRR2022141	anti-CTCF
GSM1684571	GSE68858	False	SRR2022142	anti-CTCF
GSM1684572	GSE68858	False	SRR2022143	anti-CTCF
GSM1684573	GSE68858	False	SRR2022144	anti-CTCF
GSM1684574	GSE68858	False	SRR2022145	anti-CTCF
GSM2871145	GSE107553	False	SRR6335158	rabbit
GSM2871146	GSE107553	False	SRR6335159,SRR6335160	rabbit
GSM2871147	GSE107553	False	SRR6335161,SRR6335162	rabbit
GSM2871148	GSE107553	False	SRR6335163,SRR6335164	rabbit
GSM2871149	GSE107553	False	SRR6335165,SRR6335166	rabbit
GSM2871150	GSE107553	False	SRR6335167	rabbit
GSM2871151	GSE107553	False	SRR6335168,SRR6335169	rabbit
GSM2871152	GSE107553	False	SRR6335170,SRR6335171	rabbit
GSM2871153	GSE107553	False	SRR6335172	rabbit
GSM2871154	GSE107553	False	SRR6335173	rabbit
GSM2871155	GSE107553	False	SRR6335174,SRR6335175	rabbit
GSM2871156	GSE107553	False	SRR6335176,SRR6335177	rabbit
GSM2871157	GSE107553	False	SRR6335178,SRR6335179	rabbit
GSM2871158	GSE107553	False	SRR6335180	rabbit
GSM2977009	GSE110050	False	SRR6666085	HA
GSM2977010	GSE110050	False	SRR6666086	HA
GSM2977011	GSE110050	False	SRR6666087	HA
GSM2977012	GSE110050	False	SRR6666088	HA
GSM2771529	GSE103445	False	SRR6006186,SRR6006185,SRR6006184,SRR6006183	V5-tag
GSM2771530	GSE103445	False	SRR6006187,SRR6006188,SRR6006189,SRR6006190	V5-tag
GSM2771531	GSE103445	False	SRR6006191,SRR6006192,SRR6006193,SRR6006194	V5-tag
GSM2771532	GSE103445	False	SRR6006198,SRR6006197,SRR6006196,SRR6006195	V5-tag
GSM2771533	GSE103445	False	SRR6006199,SRR6006200	V5-tag
GSM2771534	GSE103445	False	SRR6006201,SRR6006202	V5-tag
GSM2771535	GSE103445	False	SRR6006204,SRR6006203	V5-tag
GSM2771536	GSE103445	False	SRR6006205,SRR6006206	V5-tag
GSM2771537	GSE103445	False	SRR6006208,SRR6006207	V5-tag
GSM2771538	GSE103445	False	SRR6006209,SRR6006210	V5-tag
GSM2771539	GSE103445	False	SRR6006211,SRR6006212	V5-tag
GSM2771540	GSE103445	False	SRR6006214,SRR6006213	V5-tag
GSM2771541	GSE103445	False	SRR6006215,SRR6006216,SRR6006217,SRR6006218	V5-tag
GSM2771542	GSE103445	False	SRR6006219,SRR6006220,SRR6006221,SRR6006222	V5-tag
GSM2771543	GSE103445	False	SRR6006223,SRR6006224,SRR6006225,SRR6006226	V5-tag
GSM2771544	GSE103445	False	SRR6006227,SRR6006228,SRR6006229,SRR6006230	V5-tag
GSM2946721	GSE109575	False	SRR6507240	H3K27Ac
GSM2946722	GSE109575	False	SRR6710678	H3K27Ac
GSM2946723	GSE109575	False	SRR6507242	H3K27Ac
GSM2946724	GSE109575	False	SRR6507243	H3K27Ac
GSM2178242	GSE81942	False	nan	HA
GSM2178243	GSE81942	False	nan	HA
GSM2178244	GSE81942	False	nan	HA
GSM2178245	GSE81942	False	nan	HA
GSM2178246	GSE81942	False	nan	HA
GSM2178247	GSE81942	False	nan	HA
GSM2178248	GSE81942	False	nan	HA
GSM2178249	GSE81942	False	nan	HA
GSM2977009	GSE81942	False	SRR6666085	HA
GSM2977010	GSE81942	False	SRR6666086	HA
GSM2977011	GSE81942	False	SRR6666087	HA
GSM2977012	GSE81942	False	SRR6666088	HA
GSM2944126	GSE109481	False	SRR6502504	p53
GSM2944127	GSE109481	False	SRR6502505	p53
GSM2944128	GSE109481	False	SRR6502506	p53
GSM2944129	GSE109481	False	SRR6502507	p53
GSM2459095	GSE93626	False	nan	anti-Che-1
GSM2459096	GSE93626	False	SRR5176971	anti-Che-1
GSM2459097	GSE93626	True	nan	anti-Che-1
GSM2459098	GSE93626	True	SRR5176973	anti-Che-1
GSM2877257	GSE107730	False	SRR6349033	INO80
GSM2877258	GSE107730	False	SRR6349034	INO80
GSM2877259	GSE107730	False	SRR6349035	INO80
GSM2877260	GSE107730	False	SRR6349036	INO80
GSM2877261	GSE107730	False	SRR6349037	INO80
GSM2877262	GSE107730	False	SRR6349038	INO80
GSM2877263	GSE107730	False	SRR6349039	INO80
GSM2877264	GSE107730	False	SRR6349040	INO80
GSM2877265	GSE107730	False	SRR6349041	INO80
GSM2877266	GSE107730	False	SRR6349042	INO80
GSM2877267	GSE107730	False	SRR6349043	INO80
GSM2665628	GSE99943	False	SRR5676584	FLAG
GSM2665629	GSE99943	False	SRR5676585	FLAG
GSM2665628	GSE99950	False	SRR5676584	FLAG
GSM2665629	GSE99950	False	SRR5676585	FLAG
GSM2665656	GSE99950	False	SRR5676596	FLAG
GSM2665657	GSE99950	False	SRR5676597	FLAG
GSM2665658	GSE99950	False	SRR5676598	FLAG
GSM2665659	GSE99950	False	SRR5676599	FLAG
GSM2124632	GSE80331	False	SRR3392093	TCF7L1
GSM2124633	GSE80331	False	SRR3392094	TCF7L1
GSM2124634	GSE80331	False	SRR3392095	TCF7L1
GSM2935550	GSE109221	False	SRR6496138,SRR6496143,SRR6496142,SRR6496141,SRR6496140,SRR6496139	H3K27me3
GSM2935551	GSE109221	False	SRR6496144,SRR6496145	H3K27me3
GSM2935552	GSE109221	False	SRR6496146,SRR6496147	H3K27me3
GSM2935553	GSE109221	False	SRR6496148,SRR6496149	H3K27me3
GSM2935554	GSE109221	False	SRR6496150,SRR6496151,SRR6496152,SRR6496153,SRR6496154,SRR6496155	H3K27me3
GSM2935555	GSE109221	False	SRR6496157,SRR6496156	H3K27me3
GSM2935556	GSE109221	False	SRR6496159,SRR6496158	H3K27me3
GSM2935557	GSE109221	False	SRR6496161,SRR6496160	H3K27me3
GSM1377693	GSE57236	False	SRR1267910	YAP
GSM1377693	GSE57258	False	SRR1267910	YAP
GSM1378027	GSE57258	False	nan	YAP
GSM1378028	GSE57258	False	nan	YAP
GSM1378029	GSE57258	False	nan	YAP
GSM1378030	GSE57258	False	nan	YAP
GSM1378031	GSE57258	False	nan	YAP
GSM1378032	GSE57258	False	nan	YAP
GSM1378033	GSE57258	False	nan	YAP
GSM1378034	GSE57258	False	nan	YAP
GSM1378035	GSE57258	False	nan	YAP
GSM1378036	GSE57258	False	nan	YAP
GSM1378037	GSE57258	False	nan	YAP
GSM1378038	GSE57258	False	nan	YAP
GSM1378039	GSE57258	False	nan	YAP
GSM1378040	GSE57258	False	nan	YAP
GSM1378041	GSE57258	False	nan	YAP
GSM2670862	GSE100074	False	SRR5687488	ESR1
GSM2670863	GSE100074	False	SRR5687489	ESR1
GSM2670864	GSE100074	False	SRR5687490	ESR1
GSM2670865	GSE100074	False	SRR5687491	ESR1
GSM2670866	GSE100074	False	SRR5687492	ESR1
GSM2670867	GSE100074	False	SRR5687493	ESR1
GSM2670868	GSE100074	False	SRR5687494	ESR1
GSM2670869	GSE100074	False	SRR5687495	ESR1
GSM2670870	GSE100074	False	SRR5687496	ESR1
GSM2670871	GSE100074	False	SRR5687497	ESR1
