File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000XTZ	fastq	reads	ENCSR000EEC	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					MAFF-human	ENCAB717EYF	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				1180199413	Michael Snyder, Stanford	c15e0f6b5b288c46086d9f49a1a71dfa		https://www.encodeproject.org/files/ENCFF000XTZ/@@download/ENCFF000XTZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XTF/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000XUA	fastq	reads	ENCSR000EEC	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					MAFF-human	ENCAB717EYF	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				985121606	Michael Snyder, Stanford	09e237f8c4cd5ab486cfd5f660fb7c27		https://www.encodeproject.org/files/ENCFF000XUA/@@download/ENCFF000XUA.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XTF/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF140KTN	fastq	reads	ENCSR182OZC	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				CEBPB-human	ENCAB681ZWH	DNA				formaldehyde	False	2016-10-27	GGR				3	1	51		single-ended				494506099	Tim Reddy, Duke	f7ab64bcc01af4906767768ed187c28e	SRA:SRR5093324	https://www.encodeproject.org/files/ENCFF140KTN/@@download/ENCFF140KTN.fastq.gz		HiSeq 2000	/files/ENCFF535VCQ/	released		mismatched file status		
ENCFF856ROJ	fastq	reads	ENCSR182OZC	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				CEBPB-human	ENCAB681ZWH	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				658996686	Tim Reddy, Duke	e0b96838ae115998c3ef22f5aae53b1e	SRA:SRR5093325	https://www.encodeproject.org/files/ENCFF856ROJ/@@download/ENCFF856ROJ.fastq.gz		HiSeq 2000	/files/ENCFF511KUH/	released		mismatched file status		
ENCFF391QHP	fastq	reads	ENCSR047EVQ	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				EP300-human	ENCAB741LTD	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				621607457	Tim Reddy, Duke	6218badf2c73aebc36967799c369cf1c	SRA:SRR5093255	https://www.encodeproject.org/files/ENCFF391QHP/@@download/ENCFF391QHP.fastq.gz		HiSeq 2000	/files/ENCFF296XTO/	released		mismatched file status		
ENCFF802DLN	fastq	reads	ENCSR047EVQ	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				EP300-human	ENCAB741LTD	DNA				formaldehyde	False	2016-10-27	GGR				2	1	51		single-ended				588063405	Tim Reddy, Duke	d5076f4fea1644773e0806389c02145c	SRA:SRR5093254	https://www.encodeproject.org/files/ENCFF802DLN/@@download/ENCFF802DLN.fastq.gz		HiSeq 2000	/files/ENCFF748IJX/	released		mismatched file status		
ENCFF000XKT	fastq	reads	ENCSR000ECX	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					RFX5-human	ENCAB000AKJ	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				1095079819	Michael Snyder, Stanford	172a0345fee1fbb3b34800576e1380ee		https://www.encodeproject.org/files/ENCFF000XKT/@@download/ENCFF000XKT.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF000XKU	fastq	reads	ENCSR000ECX	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					RFX5-human	ENCAB000AKJ	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				1102943824	Michael Snyder, Stanford	9e3f5cac792036b78ba54d82e40d8d03		https://www.encodeproject.org/files/ENCFF000XKU/@@download/ENCFF000XKU.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF700FUL	fastq	reads	ENCSR561ZRE	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				EP300-human	ENCAB741LTD	DNA				formaldehyde	False	2016-10-27	GGR				2	1	51		single-ended				615028062	Tim Reddy, Duke	24879a3117a9cdde20f11231705cc4f8	SRA:SRR5092985	https://www.encodeproject.org/files/ENCFF700FUL/@@download/ENCFF700FUL.fastq.gz		HiSeq 2000	/files/ENCFF538UDB/	released		mismatched file status		
ENCFF846TQW	fastq	reads	ENCSR561ZRE	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				EP300-human	ENCAB741LTD	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				548456066	Tim Reddy, Duke	7ee5f20d4386e5490d33e007146539fb	SRA:SRR5092987	https://www.encodeproject.org/files/ENCFF846TQW/@@download/ENCFF846TQW.fastq.gz		HiSeq 2000	/files/ENCFF419NQI/	released		mismatched file status		
